census_tract,nLenders
401.0,39
1102.0,29
2606.05,28
2604.04,25
2505.0,22
2201.0,22
1207.0,22
1206.0,22
2502.06,21
908.0,21
2715.01,21
1101.0,21
302.0,20
2102.0,20
2502.05,20
1205.0,20
2607.0,20
1307.0,20
2801.01,19
203.0,19
2719.0,18
2402.0,18
2609.0,18
2705.01,18
2302.0,18
104.0,18
1306.0,18
2604.02,18
2101.0,18
2704.01,17
2704.02,17
2506.0,17
102.0,17
1308.06,17
2403.0,16
2601.01,16
2301.0,16
1505.0,16
1701.0,16
2608.0,16
2720.03,16
2404.0,16
2603.02,15
2605.01,15
602.0,15
2801.02,15
2720.07,15
2501.03,15
2708.05,15
1510.0,15
2714.0,15
2006.0,15
2712.0,15
2705.02,15
905.0,15
1202.01,15
1203.0,15
2401.0,14
1803.0,14
1401.0,14
2002.0,14
2303.0,14
2503.01,14
2504.01,14
2005.0,14
2805.0,14
1308.04,14
301.0,14
2713.0,14
2706.0,14
2702.0,14
2720.05,14
101.0,13
1303.0,13
802.0,13
2501.01,13
904.0,13
2804.03,13
2803.02,12
1403.0,12
902.0,12
201.0,12
603.0,12
2008.0,12
2717.0,12
2604.03,12
2703.01,12
2804.01,12
402.0,12
2603.03,12
1508.0,12
2611.0,12
2503.03,12
2720.04,12
1511.0,11
2602.01,11
1202.02,11
1605.0,11
2715.03,11
103.0,11
202.0,11
2720.06,11
1506.0,11
1903.0,11
801.02,11
2601.02,11
2708.04,11
2604.01,11
2707.03,11
2708.01,10
2701.01,10
2718.02,10
2703.02,10
2802.0,10
1504.0,10
2502.07,10
1201.0,10
903.0,10
703.0,10
901.0,10
2711.02,10
2603.01,10
1308.03,10
2708.03,10
1606.0,10
2610.0,9
1501.0,9
1402.0,9
2602.02,9
2709.03,9
1513.0,9
2718.01,9
2707.02,9
105.0,9
2708.02,9
1608.02,9
1703.0,9
907.0,9
1901.0,9
704.0,8
801.01,8
1204.0,8
2004.0,8
2710.02,8
1902.0,8
2504.02,8
1607.0,8
2803.01,8
2502.03,8
806.0,7
2003.0,7
2007.01,7
808.0,7
9999.99,7
2709.01,7
601.0,7
2501.02,7
2701.02,7
702.0,7
803.02,7
906.0,7
2602.03,7
1304.0,7
1507.02,7
1608.01,7
1509.0,7
1512.0,7
2716.0,7
909.0,6
604.0,6
701.0,6
2007.02,6
805.0,6
1502.0,6
2711.01,6
1801.0,6
1601.0,5
1604.0,5
2001.0,5
1507.01,5
1302.0,5
2804.02,5
1702.0,5
1001.0,5
2707.01,4
2709.02,4
2710.01,4
1308.05,4
1802.0,4
1002.0,4
1503.0,4
807.0,4
2606.04,3
2502.04,3
803.01,3
1602.0,3
1301.0,3
2804.04,3
1003.0,2
1603.0,2
804.0,1
