,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
M&T BANK (NY),69499323.0,56070219.0,60572616.0,62263161.0,41451984.0,21995532.0,23627982.0,28663160.0,20665488.0,27936776.0,44902012.0,43258749.0,55036000.0
PNC BANK N.A. (PA),317250.0000000001,3563208.0,3546140.0,63560382.0,62863332.0,55694288.0,51946076.0,49432930.0,43681144.0,52555244.0,41127196.0,41866105.0,43213000.0
"American Express, FSB (UT)",,,,,,,,11473610.0,15142488.0,14557872.0,15539248.0,20151477.0,24486000.0
"WELLS FARGO BANK, N.A. (CA)",58933629.0,59790483.0,73922368.0,68097783.0,58985388.0,39198198.0,23536516.0,29489200.0,26135888.0,29131284.0,26138956.0,27994799.0,24247000.0
"Bank of America, N.A. (CA)",52761213.0,61230981.0,46517224.0,39468150.0,36288280.0,27728636.0,23937644.0,20373870.0,17125508.0,21046340.0,22139008.0,22156721.0,21986000.0
1ST MARINER BANK (MD),16981758.0,17288430.0,14799304.0,18458685.0,14763280.0,15956096.0,14696272.0,12027870.0,14766924.0,9544668.0,11500236.0,14298084.0,11657000.0
Barrington Bank and Trust (IL),,,,,,,,,,,,,11276000.0
Sandy Spring Bank (MD),2406024.0000000005,5553402.0,3085680.0,3626244.0,3320016.0,3717349.9999999995,3735780.0,4901670.0,5713412.0,8052828.0,13549040.0,13665064.0,11146000.0
"SUNTRUST BANKS, INC (GA)",25319088.0,21695814.0,30423848.0,26718846.0,27830964.0,19970833.999999996,19849224.0,14805590.0,12431484.0,9840964.0,18047568.0,13671190.0,10016000.0
FIRST NATIONAL BANK OF PA (PA),,,,,,,,,1422304.0,617456.0,10318036.0,8467153.0,8468000.0
"Chase Bank USA, NA (DE)",4966866.0,6068742.0,12422852.0,17451012.0,15050280.0,3235492.0,3116456.0000000005,3822040.0,4380528.0,5744620.0,8129424.0,8296646.0,7684000.0
The Columbia Bank (MD),5876739.0,9472440.0,10814232.0,5044110.0,10602928.0,8791952.0,2680064.0,2809820.0,2146080.0,1484588.0,2835224.0,8056711.0,6662000.0
HOWARD BANK (MD),,,,,,,886008.0,2406430.0,5029612.0,4343948.0,4909728.0,8540665.0,5931000.0
"Capital One Bank (USA), N.A. (VA)",,,,,4670064.0,1793272.0,1489904.0,1692740.0,1813648.0,1592332.0,4906644.0,7361410.0,5607000.0
Silicon Valley Bank (CA),,153375.0,1196000.0,,918400.0,,3306.0000000000005,1070000.0,241960.0,642320.0,889220.0,1897017.9999999998,4305000.0
"Capital One, N.A. (VA)",,,,,132020.0,755767.9999999999,468350.0,2614010.0,1362340.0,1349908.0,1116408.0,1815338.0,3624000.0
"CITIBANK, N.A. (NY)",44415.00000000001,,47840.0,1300668.0,1733480.0,338754.0,110200.00000000001,155150.0,1879924.0,2010876.0,1382660.0,2115512.0,3034000.0
US BANK NA (WI),708102.0000000001,628224.0,,,,,148770.00000000003,64200.0,239856.0,3515148.0,3098392.0,3602088.0,3019000.0
EAGLEBANK (MD),,,89700.0,,,,126730.0,321000.0,289300.0,,1907968.0,699385.0,3000000.0
Old Line Bank (MD),,,,,,,,,,,,,2098000.0
"BMO Harris Bank, N.A. (IL)",,,,,,55899.99999999999,,,,,25700.0,,1685000.0
WSFS Bank (DE),,,,,,,,,368200.0,549080.0,889220.0,1143520.0,1662000.0
"Citizens Bank, NA (RI)",,,,,,,,23540.0,,,20560.0,1113911.0,1593000.0
JPMorgan Chase Bank NA (OH),209385.0,110430.0,1730612.0,1184619.0,803600.0,740116.0,492594.0,1251900.0,795312.0,1260812.0,733992.0,1662187.9999999998,1593000.0
MetaBank (IA),,,,,,,,,,,,301195.0,1587000.0
Northwest Bank (PA),,,25116.0,4199595.0,7895944.0,2301962.0,3377630.0,1107450.0,5703944.0,1795388.0,1418640.0,213389.0,1358000.0
UNITED BANK INC (WV),34263.0,,,,,,,,657500.0,,,,1305000.0
WASHINGTONFIRST BANK (VA),,,,,,,,,,,,,1219000.0
THE BANK OF GLEN BURNIE (MD),1719495.0000000002,2831916.0,838396.0,831876.0,689948.0,646204.0,420964.0,,683800.0,1742552.0,1558448.0,1897018.0,1200000.0
Signature Bank (NY),,,,,,,,,605952.0,1008028.0,374192.0,1336489.0,1128000.0
STEARNS BANK N A (MN),,,199732.0,158562.0,55104.0,80496.0,177422.0,88810.0,156748.0,204092.0,745300.0,797401.0,1074000.0
XENITH BANK (VA),,,,,,,,,,,,937278.0,972000.0
Synchrony Bank (UT),,,,,,,,526440.0,638564.0,990416.0,878940.0,1187423.0,969000.0
BANK OF HOPE (CA),,,,746850.0,,,,,,155400.0,102800.0,1007727.0,891000.0
THE BANKCORP BANK (DE),,,,,,,,,,,,,865000.0
Old National Bank ((IN)),,,,,,,,,,,,,800000.0
WEX BANK (UT),804546.0000000001,,,,,,,,,803936.0,676424.0,1203759.0,669000.0
Lake Forest Bank and Trust (IL),,,,,,,,,,,,,638000.0
UNIBANK (MA),,,,,,,,,,,1079400.0,536025.0,625000.0
Bofi Federal Bank (CA),,,,,,,,,,,297092.0,124562.0,623000.0
TEXAS CAPITAL BANK (TX),,,,,,,,455820.0,382928.0,351204.0,647640.0,433925.0,612000.0
PREFERRED BANK (CA),,,,,,,303050.0,,,45584.0,1565644.0,,597000.0
ACCESS NATIONAL BANK (VA),,,,,,,,,,,,,593000.0
BANGOR SAVING BANK (ME),,,,,,,,,,,,,570000.0
Bank of the West (CA),322326.0000000001,,,635397.0,,,,,,,,464555.0,568000.0
Customers Bank (PA),,,,,,,,,,,,,553000.0
First Bank Financial Centre (WI),,,,,,,,,,,,,550000.0
HANMI BANK (CA),,,,,,,,,,,,,383000.0
First Citzens Bank & Trust Co (NC),,146013.0,94484.0,1261602.0,,223600.0,330600.0,521090.0,210400.0,818440.0,277560.0,1265019.0,375000.0
UNITED BANK VA (VA),1269000.0000000002,,119600.0,,,,,,,794612.0,,,364000.0
"Fulton Bank, N.A. (PA)",,,,,,,38570.0,,,,,,358000.0
TriState Capital Bank (PA),,,,,,,,,789000.0,,267280.0,199095.0,350000.0
Mutual of Omaha Bank (NE),,,,,,,,,,,,,285000.0
TD Bank N.A. (DE),,,2658708.0,1675242.0,436240.0,1145949.9999999998,5510.0,8560.0,625940.0,1248380.0,469796.0,325699.0,265000.0
BankUnited (FL),,,,,,,,,,,,,197000.0
TCF National Bank (SD),,,,,,,,,,,,390022.0,188000.0
COMMUNITY BANK OF THE CHESAPEA (MD),,,,,,,,,,,,,178000.0
"Raymond James Bank, N.A. (FL)",,,,,,,,,,,,,160000.0
BURKE & HERBERT BK & TR CO (VA),,245400.00000000003,657800.0,,229600.0,213538.0,198360.00000000003,197950.0,,518000.0,686704.0,506416.0,157000.0
American Express Centurion Bk (UT),2538000.0,12270.0,,,,,,,,,113080.0,76575.0,157000.0
STATE BANK & TRUST (GA),,,,,,,,,,,,,125000.0
Pacific Western Bank (CA),,,,,,,,,,,,,125000.0
FIRST REPUBLIC BANK (CA),,,,,,,,,,,,,90000.0
"John Deere Financial, f.s.b. (WI)",,,,,,,,,102044.0,48692.0,40092.0,9189.0,89000.0
Pinnacle Bank (TN),,,,,,,,,,,,113331.0,56000.0
PLAINSCAPITAL BANK (TX),,,,,,,,,,,,,50000.0
COMENITY CAPITAL BANK (UT),,,,,,,,,,,,143960.99999999997,46000.0
COMERICA BANK (MI),1763910.0000000005,1227000.0,,,929880.0,,,,,284900.0,1701340.0,444135.0,30000.0
State Farm Bank (IL),,,,,,,,100580.0,63120.0,34188.0,51400.0,,26000.0
FIRST NATIONAL BANK OF OMAHA (NE),85023.00000000001,60123.0,39468.0,249333.0,53955.99999999999,409188.0,119016.0,105930.0,109408.0,164724.0,70932.0,62281.0,22000.0
EVERBANK (FL),,,,,,,,4280.0,4208.0,4144.0,77100.0,4084.0,8000.0
"HSBC BANK, NA (VA)",,,,585990.0,602700.0,,,114490.0,59964.0,,,,5000.0
